TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50
20190111180567,-1,1,40,2,2,55,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,1,10766714.937888,-1,2019,11457253.494643,780,20,0,0,0,0,0,0,0,0,30,610,0,0,0,0,0,0
20190111180579,-1,1,44,2,2,44,1,1,2,-1,2,1,3,1,173076,0,1,1,5,3,9341055.233106,60,2019,9002118.098794,620,80,70,0,595,0,0,0,0,0,15,0,0,0,0,0,60,0
20190111180586,-1,1,40,2,2,67,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,2,2662333.038894,-1,2019,2565084.040123,66,2,0,0,0,0,0,0,0,0,20,1242,0,20,0,90,0,0
20190111180613,-1,2,43,2,1,46,1,2,2,-1,1,1,1,1,192307,0,1,1,9,7,3584770.912686,40,2019,3469720.773119,440,285,45,0,0,0,5,0,0,0,50,200,180,0,0,0,70,165
20190111180624,-1,1,45,2,4,28,1,2,2,-1,2,-1,0,1,115384,0,-1,3,-1,4,14201083.288697,70,2019,12308124.482734,545,0,0,0,750,0,0,0,0,0,75,35,0,0,0,0,35,0
20190111180626,-1,1,43,1,1,52,1,2,-1,-1,2,-1,0,2,24038,0,-1,3,-1,1,921697.665606,25,2019,1055003.740713,638,240,0,0,0,0,15,0,0,0,10,308,0,185,0,0,44,0
20190111180629,-1,1,40,2,1,37,1,2,2,-1,2,1,3,1,138461,0,1,1,8,1,6041041.511767,40,2019,5728981.985042,510,350,80,0,0,0,90,0,0,0,50,230,0,0,0,0,40,90
20190111180643,-1,1,43,1,1,25,1,2,1,2,2,1,0,1,48000,0,1,1,-1,5,54091866.586546,40,2019,47784875.925662,540,15,0,0,460,240,0,0,0,0,30,145,0,0,0,0,10,0
20190111180646,-1,2,36,2,1,17,1,2,1,1,2,-1,1,1,-1,1,-1,3,17,3,13597122.265705,40,2019,15021056.713756,625,385,0,0,110,60,0,0,0,0,120,30,0,0,0,0,110,0
20190111180650,-1,1,44,2,1,43,2,2,2,-1,2,1,0,1,288461,0,1,1,-1,1,4364567.732601,45,2019,4311322.153267,630,90,0,0,0,0,300,120,0,0,90,80,0,0,0,0,70,60
